City,District,Street,Area,Rooms,Floor,Year,Building Type,Heating,Furnishing,EnergyClass,Price
Kauno r. sav.,Giraitės k.,Žilvičių g.,"51,83m2",2,3,2018,Brick,Gas,Fully,nan,117000
Kauno r. sav.,Giraitės k.,Žilvičių g.,"51,83m2",2,3,2018,Brick,Gas,Fully,nan,117000
Klaipėda,Senamiestis,Liepų g.,"50,87m2",2,2,1917,Brick,Central,Fully,nan,132300
Klaipėda,Žvejybos uostas,Kalnupės g.,"41,26m2",2,1,1960,Brick,Central,Fully,nan,60000
Vilnius,Lazdynėliai,Žaibo g.,"43,23m2",2,3,2022,Brick,Central thermostat,Fully,A,163900
Vilnius,Lazdynėliai,Žaibo g.,"76,41m2",4,3,1981,Brick,Central,Fully,nan,37999
Kaunas,Dainava,Taikos pr.,"43,93m2",2,5,1970,Block house,Central,Fully,nan,77000
Kaunas,Vilijampolė,Sąjungos a.,"37,17m2",2,2,1962,Brick,Central,Fully,nan,57900
Kaunas,Šilainiai,Kuršių g.,60m2,3,3,1987,Block house,Central,Fully,nan,99000
Vilnius,Antakalnis,Gražinos g.,"44,1m2",2,2,1940,Log house,Gas,Fully,nan,89000
Radviliškio r. sav.,Pociūnų k.,Berželių g.,55m2,2,1,1980,Brick,Solid fuel,Fully,nan,1500
Radviliškio r. sav.,Pociūnų k.,Berželių g.,32m2,1,5,1978,Brick,Central,Fully,nan,25000
Vilnius,Lazdynėliai,Žaibo g.,64m2,3,3,2022,Brick,Central thermostat,Fully,A,255000
Vilnius,Lazdynėliai,Žaibo g.,56m2,2,2,1975,Brick,Solid fuel,Fully,nan,7500
Šiauliai,Dainiai,Architektų g.,65m2,3,7,1972,Block house,Central,Fully,nan,90000
Klaipėda,Giruliai,Girulių pl.,50m2,2,2,2022,Brick,Gas,Fully,nan,215000
Jonavos r. sav.,Upninkų k.,Darbininkų g.,"80,89m2",3,3,1977,Brick,Solid fuel,Fully,nan,10500
Jonavos r. sav.,Ruklos mstl.,Ruklio g.,"34,2m2",2,5,1971,Brick,Central,Fully,nan,25999
Jonavos r. sav.,Ruklos mstl.,Ruklio g.,"50,37m2",2,4,1986,Brick,Central,Fully,nan,124000
Vilnius,Markučiai,Kaukysos g.,"45,32m2",2,5,2022,Brick,Central thermostat,Partial,nan,157000
Vilnius,Pašilaičiai,Laisvės pr.,55m2,2,4,2009,Brick,Central thermostat,Fully,nan,152000
Kaunas,Žaliakalnis,Partizanų g.,"49,38m2",2,7,1985,Brick,Central,Fully,nan,99000
Vilnius,Pilaitė,M. Mažvydo g.,"55,48m2",2,5,2017,Brick,Central,Fully,A+,245000
Vilnius,Užupis,Polocko g.,"87,64m2",4,2,1900,Brick,Gas,Fully,nan,399500
Vilnius,Lazdynai,M. Mironaitės g.,75m2,3,2,2008,Brick,Central thermostat,Fully,nan,238000
Akmenės r. sav.,Naujosios Akmenės m.,Ramučių g.,50m2,2,2,1983,Block house,Central,Not,nan,15000
Akmenės r. sav.,Naujosios Akmenės m.,Ramučių g.,"48,3m2",2,1,1991,Brick,Central,Fully,nan,52000
Vilnius,Markučiai,Kaukysos g.,"97,17m2",4,6,2023,Brick,Central thermostat,Partial,nan,360000
Kaunas,Eiguliai,Žeimenos g.,50m2,2,1,1983,Block house,Central,Fully,nan,99000
Kaunas,Šilainiai,K. Čerbulėno g.,42m2,2,1,2022,Brick,Gas,Fully,nan,116000
