City,District,Street,Area,Rooms,Floor,Year,Building Type,Heating,Furnishing,Price,Price per sqm
Vilnius,Žvėrynas,Sėlių g.,57.0,2,3,2004,Brick,Central thermostat,Fully,199000,3491.2280701754385
Klaipėda,Kaunas,Kauno g.,47.0,2,5,1966,Brick,Central thermostat,Fully,92000,1957.4468085106382
Vilnius,Naujamiestis,Skroblų g.,70.83,3,1,2022,Monolithic,Central thermostat,Partial,189000,2668.360864040661
Vilnius,Pilaitė,Gilužio g.,62.0,3,2,2022,Brick,Gas,Fully,210000,3387.0967741935483
Vilnius,Grigiškės,Pašto g.,54.63,2,1,1953,Brick,Central,Fully,92000,1684.0563792787846
Vilnius,Pašilaičiai,Perkūnkiemio g.,80.0,3,5,2008,Brick,Central thermostat,Fully,169999,2124.9875
Vilnius,Senamiestis,Sodų g.,32.81,1,2,2021,Brick,Central thermostat,Fully,170000,5181.347150259067
Kaunas,Aleksotas,K. Dulksnio g.,63.17,3,3,2023,Brick,Aerothermal,Partial,107389,1700.0
Kaunas,Aleksotas,K. Dulksnio g.,41.7,2,1,2023,Brick,Aerothermal,Partial,87570,2100.0
Vilnius,Pašilaičiai,Pavilnionių g.,44.45,2,3,2023,Brick,Central thermostat,Partial,115570,2600.0
Vilnius,Pašilaičiai,Pavilnionių g.,32.86,1,3,2023,Brick,Central thermostat,Partial,90400,2751.065124771759
Alytus,Putinai,Kalniškės g.,35.0,2,4,1979,Block house,Central,Fully,21000,600.0
Alytus,Putinai,Kalniškės g.,45.0,2,4,1970,Block house,Central,Fully,50000,1111.111111111111
Klaipėda,Debrecenas,Debreceno g.,67.85,3,1,1972,Brick,Central,Partial,69500,1024.3183492999265
Kaunas,Eiguliai,Sukilėlių pr.,170.0,4,13,2006,Brick,"Central thermostat, other",Fully,390000,2294.1176470588234
Vilnius,Lazdynėliai,Šalnos g.,14.47,1,1,1993,Monolithic,"Central, central thermostat",Not,38000,2626.123013130615
Kaunas,Amaliai,A. Baltūsio-Žvejo g.,45.0,1,4,1988,Block house,Central,Fully,89000,1977.7777777777778
Vilnius,Karoliniškės,Vytauto Vaitkaus g.,46.0,2,5,1974,Block house,Central,Fully,125000,2717.391304347826
Vilnius,Fabijoniškės,S. Stanevičiaus g.,66.84,3,8,1990,Block house,Central,Fully,110000,1645.7211250748055
Vilnius,Šnipiškės,Linkmenų g.,47.23,2,6,2022,Block house,Central thermostat,Partial,192000,4065.2127884818974
Vilnius,Pilaitė,Tolminkiemio g.,35.17,2,2,2022,Brick,Central thermostat,Partial,93000,2644.2991185669603
Kaunas,Žaliakalnis,Lietuvių g.,71.59,3,1,2022,Brick,Central thermostat,Partial,159000,2220.98058388043
Palanga,Šventoji,Mokyklos g.,45.24,2,2,2022,Brick,Electric,Partial,99528,2200.0
Vilnius,Lazdynėliai,Lazdynėlių g.,73.3,3,4,2018,Other,Gas,Fully,210000,2864.9386084583903
Vilnius,Žirmūnai,Apkasų g.,61.06,3,7,1979,Block house,Central,Fully,138000,2260.0720602685883
Vilnius,Žirmūnai,Rinktinės g.,63.77,3,1,1976,Block house,Central,Fully,120000,1881.7625842872824
Panevėžio r. sav.,Miežiškių mstl.,Nevėžio g.,58.04,3,2,1966,Brick,Gas,Fully,39900,687.4569262577533
Šiauliai,Centras,Dvaro g.,145.0,6,3,1947,Brick,Gas,Fully,230000,1586.2068965517242
Šiauliai,Centras,Dvaro g.,43.98,2,2,1964,Block house,Central,Fully,51500,1170.986812187358
Klaipėda,Giruliai,Litorinos g.,64.75,3,2,2022,Brick,Gas,Partial,375550,5800.0
Vilnius,Žirmūnai,Žirmūnų g.,50.96,2,5,1980,Block house,Central,Fully,99000,1942.7001569858712
Šiauliai,Lieporiai,Tilžės g.,35.0,2,5,1972,Brick,Central,Fully,37500,1071.4285714285713
Šiauliai,Lieporiai,Tilžės g.,46.09,2,3,1969,Block house,Central,Fully,60000,1301.8008244738553
Šiauliai,Centras,J. Basanavičiaus g.,95.0,4,2,1959,Brick,"Gas, sun energy",Fully,105000,1105.2631578947369
Kaunas,Centras,Vytauto pr.,39.37,2,3,1930,Brick,Central,Partial,89999,2285.979171958344
Kaunas,Centras,Vytauto pr.,43.52,2,3,1930,Brick,Central,Partial,94500,2171.4154411764703
Klaipėda,Žardininkai,Žardininkų g.,47.0,2,3,1976,Block house,Central,Fully,85000,1808.5106382978724
Klaipėda,Žardininkai,Žardininkų g.,65.0,3,4,1974,Brick,Central,Fully,70000,1076.923076923077
Klaipėda,Žvejybos uostas,Kalnupės g.,65.76,3,3,1993,Brick,Central,Fully,82000,1246.9586374695862
Kaunas,Šilainiai,Girios g.,54.17,3,3,2023,Brick,Central thermostat,Partial,124591,2300.0
Kaunas,Šilainiai,Girios g.,69.01,3,4,2023,Monolithic,Central thermostat,Partial,248400,3599.4783364729747
Klaipėda,Vėtrungė,Kuosų g.,87.0,3,17,2009,Monolithic,Central thermostat,Fully,164900,1895.4022988505747
Klaipėda,Mažasis kaimelis,Kretingos g.,38.0,2,1,1965,Brick,Central thermostat,Fully,74999,1973.657894736842
Šiauliai,Žaliūkiai,Paukščių tak.,88.05,3,5,2006,Brick,Gas,Fully,146000,1658.1487791027826
Šiauliai,Žaliūkiai,Paukščių tak.,46.0,2,1,1987,Brick,Central,Not,21900,476.0869565217391
Palanga,Šventoji,Mokyklos g.,37.64,1,3,1991,Brick,Electric,Fully,74000,1965.9936238044634
Palanga,Šventoji,Mokyklos g.,44.32,2,4,1990,Brick,Central,Fully,88000,1985.5595667870036
Palanga,Šventoji,Mokyklos g.,64.0,3,5,1991,Block house,Central,Fully,52000,812.5
Vilnius,Naujamiestis,Algirdo g.,36.82,2,2,2023,Brick,Central thermostat,Partial,160428,4357.088538837588
Vilnius,Naujamiestis,Algirdo g.,56.32,3,3,2023,Brick,Central thermostat,Partial,275900,4898.792613636364
Vilnius,Kalnėnai,Azerų g.,80.0,3,1,2023,Brick,"Aerothermal, gas",Partial,148000,1850.0
Vilnius,Senamiestis,Gedimino pr.,73.9,3,3,1940,Brick,Central,Fully,328000,4438.430311231394
Vilnius,Senamiestis,Gedimino pr.,50.22,2,2,1985,Block house,Central,Fully,59000,1174.8307447232178
Vilnius,Markučiai,Manufaktūrų g.,73.75,3,2,2019,Brick,Central thermostat,Fully,315000,4271.186440677966
Vilnius,Paupys,Manufaktūrų g.,73.75,3,2,2019,Brick,Central thermostat,Fully,315000,4271.186440677966
Vilnius,Užupis,Manufaktūrų g.,73.75,3,2,2019,Brick,Central thermostat,Fully,315000,4271.186440677966
Vilnius,Užupis,Manufaktūrų g.,44.06,2,2,2022,Monolithic,Central thermostat,Partial,149500,3393.1003177485245
Vilnius,Kalnėnai,Azerų g.,78.0,3,1,2022,Brick,Gas,Fully,256000,3282.051282051282
Šiauliai,Dainiai,Dainų g.,64.35,3,1,1980,Block house,Central,Fully,75000,1165.5011655011656
