City,District,Street,Area,Rooms,Floor,Year,Building Type,Heating,Furnishing,Price
Vilnius,Žirmūnai,Žirmūnų g.,65.15,3,2,1965,Block house,Central,Fully,143000
Vilnius,Žirmūnai,Žirmūnų g.,63.0,3,3,1995,Brick,Electric,Fully,143000
Vilnius,Naujininkai,Panevėžio g.,64.0,3,2,2022,Monolithic,Other,Fully,199000
Vilnius,Naujininkai,Panevėžio g.,64.0,3,1,2022,Monolithic,Other,Fully,219000
Kaunas,Žaliakalnis,Taikos pr.,65.0,3,2,1965,Brick,Central,Fully,95000
Vilnius,Baltupiai,Kazio Ulvydo g.,36.4,1,1,2015,Brick,Central thermostat,Fully,136500
Vilnius,Baltupiai,Kazio Ulvydo g.,39.13,2,1,2021,Brick,Electric,Fully,149000
Vilnius,Baltupiai,Kazio Ulvydo g.,30.89,2,2,2021,Brick,Electric,Fully,120000
Vilnius,Baltupiai,Kazio Ulvydo g.,57.01,3,2,2022,Brick,Electric,Partial,194000
Kaunas,Romainiai,Girios g.,41.86,2,4,2022,Brick,Central thermostat,Fully,117208
Vilnius,Lazdynėliai,Jonažolių g.,64.54,2,2,2009,Brick,Central thermostat,Fully,179000
Vilnius,Šnipiškės,Giedraičių g.,50.69,3,4,1972,Block house,Central,Fully,117000
Vilnius,Paupys,Aukštaičių g.,59.0,3,2,2022,Brick,Central thermostat,Partial,255100
Vilnius,Užupis,Aukštaičių g.,40.94,2,1,2022,Brick,Central thermostat,Partial,196100
Klaipėda,Centras,Žiedų skg.,102.5,4,1,2019,Brick,Central,Fully,377400
Kaunas,Freda,Europos pr.,59.93,3,2,2023,Block house,Central thermostat,Partial,146829
Klaipėda,Bandužiai,Bandužių g.,78.04,3,4,1990,Brick,Central,Fully,84000
Klaipėda,Bandužiai,Bandužių g.,42.0,2,3,2016,Brick,Central thermostat,Fully,169900
Vilnius,Naujoji Vilnia,Parko g.,65.0,3,5,1985,Brick,Central,Fully,96000
Vilnius,Bajorai,Bajorų kel.,60.0,3,2,2015,Brick,Central thermostat,Fully,185000
Vilnius,Bajorai,Bajorų kel.,53.75,3,1,2022,Brick,Gas,Partial,220000
